"[40.520566, -3.909616]","[40.5193482, -3.9056934]","[40.5213932, -3.901585]","[40.5196868, -3.9005021]","[40.519669, -3.900518]","[40.519669, -3.900518]","[40.5215174, -3.8981731]","[40.5207997, -3.8959846]","[40.520794, -3.896012]","[40.520794, -3.896012]","[40.5218765, -3.8978079]","[40.5212531, -3.898442299999999]","[40.5215712, -3.8997293]","[40.521603, -3.899735]","[40.521603, -3.899735]","[40.5213932, -3.901585]","[40.5221907, -3.9026763]","[40.5193318, -3.905294]","[40.5206091, -3.9095896]","[40.520566, -3.909616]",,,,,,,,,
"[40.526405, -3.893652]","[40.5262922, -3.8936398]","[40.526291, -3.893652]","[40.526291, -3.893652]","[40.5235689, -3.8931831]","[40.523683, -3.8926009]","[40.523681, -3.892622]","[40.523681, -3.892622]","[40.5264046, -3.8936573]","[40.526405, -3.893652]",,,,,,,,,,,,,,,,,,,
"[40.516093, -3.895735]","[40.5164489, -3.8963644]","[40.5235384, -3.8903104]","[40.523535, -3.890347]","[40.523535, -3.890347]","[40.5252452, -3.8905986]","[40.52540399999999, -3.8870652]","[40.52217, -3.887462499999999]","[40.5218419, -3.8876335]","[40.519715, -3.8896741]","[40.5181254, -3.8912429]","[40.5182251, -3.8915943]","[40.5185891, -3.8922105]","[40.518605, -3.892208]","[40.518605, -3.892208]","[40.5193134, -3.8934653]","[40.5209699, -3.8917907]","[40.5224543, -3.8943081]","[40.5224249, -3.8943379]","[40.522425, -3.894338]","[40.522425, -3.894338]","[40.5187842, -3.8980257]","[40.5183433, -3.8972776]","[40.518348, -3.897235]","[40.518348, -3.897235]","[40.5160423, -3.8933613]","[40.5151933, -3.8942231]","[40.5160845, -3.8957437]","[40.516093, -3.895735]"
