0.0,2145.0,2110.0,1411.0,1101.0,1774.0,2449.0,1697.0,2153.0,2283.0,2061.0,1045.0
2145.0,0.0,1768.0,1071.0,1028.0,708.0,1292.0,480.0,522.0,652.0,13.0,911.0
2110.0,1768.0,0.0,411.0,587.0,773.0,953.0,973.0,1153.0,1026.0,1520.0,970.0
1411.0,1071.0,411.0,0.0,487.0,360.0,955.0,596.0,740.0,870.0,1107.0,776.0
1101.0,1028.0,587.0,487.0,0.0,693.0,1289.0,770.0,1072.0,1202.0,1134.0,383.0
1774.0,708.0,773.0,360.0,693.0,0.0,857.0,498.0,641.0,771.0,1008.0,416.0
2449.0,1292.0,953.0,955.0,1289.0,857.0,0.0,638.0,782.0,691.0,1149.0,819.0
1697.0,480.0,973.0,596.0,770.0,498.0,638.0,0.0,869.0,999.0,1236.0,644.0
2153.0,522.0,1153.0,740.0,1072.0,641.0,782.0,869.0,0.0,692.0,367.0,952.0
2283.0,652.0,1026.0,870.0,1202.0,771.0,691.0,999.0,692.0,0.0,581.0,1166.0
2061.0,13.0,1520.0,1107.0,1134.0,1008.0,1149.0,1236.0,367.0,581.0,0.0,898.0
1045.0,911.0,970.0,776.0,383.0,416.0,819.0,644.0,952.0,1166.0,898.0,0.0
