0.0,2145.0,2603.0,1411.0,1101.0,1774.0,2654.0,1697.0,2153.0,2283.0,2061.0
2145.0,0.0,1720.0,1071.0,1028.0,708.0,1498.0,480.0,522.0,652.0,13.0
2603.0,1720.0,0.0,2763.0,3252.0,2964.0,2767.0,3200.0,3344.0,3253.0,3711.0
1411.0,1071.0,2763.0,0.0,487.0,360.0,1161.0,596.0,740.0,870.0,1107.0
1101.0,1028.0,3252.0,487.0,0.0,693.0,1495.0,770.0,1072.0,1202.0,1134.0
1774.0,708.0,2964.0,360.0,693.0,0.0,1063.0,498.0,641.0,771.0,1008.0
2654.0,1498.0,2767.0,1161.0,1495.0,1063.0,0.0,896.0,1040.0,949.0,1407.0
1697.0,480.0,3200.0,596.0,770.0,498.0,896.0,0.0,869.0,999.0,1236.0
2153.0,522.0,3344.0,740.0,1072.0,641.0,1040.0,869.0,0.0,692.0,367.0
2283.0,652.0,3253.0,870.0,1202.0,771.0,949.0,999.0,692.0,0.0,581.0
2061.0,13.0,3711.0,1107.0,1134.0,1008.0,1407.0,1236.0,367.0,581.0,0.0
